Trade_Num,Date,Type,Entry_Price,Exit_Price,Result,Gross_PnL,Entry_Cost,Exit_Cost,Net_PnL,Cumulative_PnL,YearMonth,Year,Month
0,2024-07-19,SHORT,63974.06640625,64741.755203125,SL,-76.76887968750016,6.397406640625,6.4741755203125,-89.64046184843765,-89.64046184843765,2024-07,2024,7
1,2024-07-26,SHORT,65927.671875,66718.8039375,SL,-79.11320624999935,6.592767187500001,6.6718803937499995,-92.37785383124935,-182.01831567968702,2024-07,2024,7
2,2024-09-24,SHORT,62940.45703125,63695.742515625,SL,-75.52854843750029,6.294045703125001,6.369574251562501,-88.19216839218778,-270.2104840718748,2024-09,2024,9
3,2024-09-26,SHORT,63143.14453125,63900.862265625,SL,-75.77177343750009,6.314314453125,6.3900862265625005,-88.4761741171876,-358.6866581890624,2024-09,2024,9
4,2025-01-03,LONG,93530.2265625,97271.435625,TP,374.12090624999985,9.353022656250001,9.7271435625,355.04074003124987,-3.6459181578125026,2025-01,2025,1
5,2025-02-24,LONG,95773.3828125,94624.10221875,SL,-114.92805937499944,9.57733828125,9.462410221875002,-133.96780787812443,-137.61372603593696,2025-02,2025,2
6,2025-06-08,LONG,101575.953125,105638.99125,TP,406.3038125000007,10.157595312500002,10.563899125000002,385.5823180625007,247.96859202656373,2025-06,2025,6
7,2025-08-10,LONG,114141.4453125,118707.10312500001,TP,456.5657812500009,11.41414453125,11.870710312500002,433.2809264062509,681.2495184328146,2025-08,2025,8
8,2025-08-29,LONG,111222.0625,109887.39775,SL,-133.46647499999963,11.122206250000001,10.988739775000003,-155.57742102499964,525.672097407815,2025-08,2025,8
9,2025-09-29,LONG,109049.2890625,113411.26062500001,TP,436.197156250001,10.904928906250001,11.3411260625,413.951101281251,939.623198689066,2025-09,2025,9
10,2025-10-26,LONG,108666.7109375,113013.379375,TP,434.66684375000045,10.866671093750002,11.301337937500001,412.4988347187504,1352.1220334078164,2025-10,2025,10
11,2026-01-13,SHORT,93882.5546875,95009.14534375,SL,-112.65906562500022,9.38825546875,9.500914534375001,-131.54823562812524,1220.5737977796912,2026-01,2026,1
12,2026-01-14,SHORT,95321.78125,96465.64262500001,SL,-114.38613750000077,9.532178125,9.646564262500002,-133.56487988750078,1087.0089178921903,2026-01,2026,1
13,2026-01-19,SHORT,96929.328125,93052.155,TP,387.71731250000016,9.6929328125,9.305215500000001,368.7191641875002,1455.7280820796905,2026-01,2026,1
