Entry Time,Exit Time,Type,Entry Price,Exit Price,P&L,P&L %,Exit Reason,Win,Year,Month,YearMonth
2024-07-18,2024-07-19,SHORT,63974.06640625,66710.15625,-299.74582890625004,-4.2768734230136385,SL,No,2024,7,2024-07
2024-07-19,2024-07-21,SHORT,66710.15625,68154.5234375,-171.40965468750002,-2.1651383667685487,SL,No,2024,7,2024-07
2024-07-21,2024-07-24,SHORT,68154.5234375,65372.1328125,251.53373125,4.082473891188664,TP,Yes,2024,7,2024-07
2024-07-24,2024-07-26,SHORT,65372.1328125,67912.0625,-280.6498078125,-3.885340095580192,SL,No,2024,7,2024-07
2024-07-26,2024-07-31,SHORT,67912.0625,64619.25,302.7749875,4.848641579689916,TP,Yes,2024,7,2024-07
2024-09-19,2024-09-24,SHORT,62940.45703125,64301.96875,-161.59965703125002,-2.1631741855226982,SL,No,2024,9,2024-09
2024-09-24,2024-09-26,SHORT,64301.96875,65181.01953125,-113.80167578125,-1.3670666673794463,SL,No,2024,9,2024-09
2024-09-26,2024-10-01,SHORT,65181.01953125,60837.0078125,409.19756640625,6.664534783269738,TP,Yes,2024,9,2024-09
2024-10-15,2024-10-18,SHORT,67041.109375,68418.7890625,-164.8599484375,-2.054977461357077,SL,No,2024,10,2024-10
2024-10-18,2024-10-28,SHORT,68418.7890625,69907.7578125,-176.562184375,-2.1762570931207703,SL,No,2024,10,2024-10
2024-11-06,2024-11-09,SHORT,75639.078125,76778.8671875,-144.4624953125,-1.5068785748768576,SL,No,2024,11,2024-11
2024-11-09,2024-11-10,SHORT,76778.8671875,80474.1875,-400.98264218750006,-4.8129393514959595,SL,No,2024,11,2024-11
2024-11-10,2024-11-11,SHORT,80474.1875,88701.484375,-856.5648218750001,-10.223522760015435,SL,No,2024,11,2024-11
2024-11-11,2024-11-13,SHORT,88701.484375,90584.1640625,-224.12509843750001,-2.122489494697355,SL,No,2024,11,2024-11
2024-11-13,2024-11-19,SHORT,90584.1640625,92343.7890625,-212.54809062500001,-1.9425304833479817,SL,No,2024,11,2024-11
2024-11-19,2024-11-20,SHORT,92343.7890625,94339.4921875,-236.90696875,-2.161166598491282,SL,No,2024,11,2024-11
2024-11-20,2024-11-21,SHORT,94339.4921875,98504.7265625,-455.09228125,-4.415154542830901,SL,No,2024,11,2024-11
2024-11-21,2024-11-25,SHORT,98504.7265625,93102.296875,501.9215640625,5.484437017417864,TP,Yes,2024,11,2024-11
2024-12-29,2025-01-03,LONG,93530.2265625,98107.4296875,419.39278125000004,4.893822343027643,TP,Yes,2024,12,2024-12
2025-01-23,2025-02-02,SHORT,103960.171875,97688.9765625,586.7897015625,6.03230564108761,TP,Yes,2025,1,2025-01
2025-02-17,2025-02-24,LONG,95773.3828125,91418.171875,-472.95940468750007,-4.5474126626877105,SL,No,2025,2,2025-02
